,0,1,2,3,4,5,6,7
0,3.5,,Roberto Carminati,Roberto CarminatiBruno FantiniDaniel Ortiz,The Brazilian Government leads Latin American countries in the fight against drug cartels. In response drug cartels start a series of attacks against Brazil's cities and natural resources. Their first target is the Amazon Forest.,Action,1h 26m,Segurança Nacional
1,3.3,,S.J. Suryah,S.J. Suryah,"Puli, a brave police officer, is appointed as the special police officer in PM's security. Soon, he gets into a brawl with Al Saleem, only to realise that Saleem is responsible for his father's death.","Action
Crime
Thriller",2h 43m,Komaram Puli
2,3.9,,Albert J. Allie,Albert J. Allie,Cross the Line is an action/drama about two police detectives Angela who is a top rate narcotics detective and Joe who is a hard nose homicide detective. Both detectives are going through a bad divorce. It sounds like a coincidence but it's not because they are the ones getting divorced from each other. One case forces them back together. A power drug lord seeks to ge... Read all,Action,1h 27m,Cross the Line
3,5.1,,Alex Ferrari,Alex Ferrari,"ZOE, a young teenage girl, is lured into an after hours carnival tent by the sleazy rock n roll carnie RIMO, and gets more then she bargained for. It's up to the mysterious PRINCESS, star of the new knife show, to pull her out of the wolf's den.","Short
Action
Thriller",11m,Red Princess Blues
4,2.5,,Shaun Rana,Shaun Rana,"The town of Westbrick is a rough place to live in. It is here that the young rookie cop Matthew lives with his wife. Meanwhile, notorious serial killers Billy and Barbara embark on a killing spree in order to get notoriety. Matthew gets his first assignment with his much older partner William when he unfortunately crosses paths with Billy and Barbara. William gets kil... Read all",Action,1h 30m,Westbrick Murders
5,3.0,,Matthew R. Anderson,Edward Conna,Good Vampires battle Zombie Vampires while trying to hide their own identity and prevent the infection from spreading.,"Action
Horror
Sci-Fi",1h 29m,The Dead Undead
6,3.1,,James Boss,Vivian Kyinn,"Set in a wasteland enclosed by a large white wall, the last survivor from a brutal child internment camp reluctantly takes on one final bounty hunting job to protect the idyllic life he has rebuilt.","Action
Mystery
Sci-Fi",1h 35m,White Wall
7,3.3,,Sebastian Panneck,Christoph Willumeit,"A motley group of business students in Berlin, Germany sign up for Takahashi Corp.'s assessment weekend, hoping to land one of the coveted spots with the consulting company. Under the watchful eye of a company psychologist, the team-working and improvisational skills of the aspirants will be put to the test in a survival-type situation. But nothing goes according to p... Read all",Action,1h 33m,Headhunter: The Assessment Weekend
8,6.6,,Ethan Maniquis,Robert Rodriguez,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.","Action
Crime
Thriller",1h 45m,Machete
9,3.8,,Kim Bass,Kim Bass,"Best friends fly home-built, high-tech planes to deliver drugs from Mexico to California in order to fund their Hollywood life-style.","Action
Crime
Thriller",1h 53m,Kill Speed
10,3.1,,Gordon Chan,Rita Augustine,"Live-action feature based on the video game ""King of Fighters"".","Action
Sci-Fi
Thriller",1h 33m,The King of Fighters
11,8.6,,Eric Whiteley,Eric Whiteley,An entry into Saber Comp's 8th annual international Lightsaber Choreography Competition. It was rewarded first place in both the popular and judges vote.,Short,11m,Rivals
12,3.9,,Eric Etebari,Robert Redlin,Can a determined single mom go the distance and win the tournament that could ultimately lead to a better life for her and her daughter?,"Action
Drama",1h 30m,Bare Knuckles
13,4.2,,Davi de Oliveira Pinheiro,Davi de Oliveira Pinheiro,"In a devastated post-apocalyptic world where the rules of reality are transformed by magic and madness, a vengeful police officer searches for a possessed serial killer in a battle of the not-so-good versus absolute evil.","Action
Crime
Horror",1h 29m,Beyond the Grave
14,3.3,,Juan Carlos Vargas,Juan Carlos VargasJohn Azpilicueta,"Ten actors audition on a reality show for a million dollars. All they have to do is survive three killers, and each other - streaming live over the Internet.",Action,1h 27m,Elimination
15,5.7,,Hilbert Hakim,Joshua Leibner,"A botched car-jacking forces two white-collar criminals to take refuge in the home of the thugs that accosted them. Over the course of one explosive, unpredictable night, worlds collide, fortunes shift, lives are cast aside and the most unsuspecting of heroes walks away with a multimillion dollar score.","Action
Crime
Drama",1h 45m,Krews
16,6.2,,Assad Raja,Jens DahlAssad RajaNicolas Winding Refn,"A desperate drug-pusher must avoid police, and find money to pay-off a huge debt.",Action,1h 47m,Pusher
17,5.2,,Robert Kurtzman,Alexander Vesha,A police officer with a painful past returns home to help the FBI track down a mastermind assassin.,"Action
Crime
Thriller",1h 36m,Deadly Impact
18,4.0,,Robert Arevalo,Robert Arevalo,"Saltillo, a small dusty town south of the Mexican border, caught in a war of greed and corruption. A man named Bishop returns home after his parents are executed at the hands of a ruthless drug lord El Chilango. He swears to avenge the deaths of his loved ones and take down every person involved at the cost of losing himself and his new love Lucia, the wife of his new... Read all",Action,1h 40m,Mexican Bloodbath
19,8.2,,Colin Fleming,Colin FlemingJohn GarsideJerry Renek,"Max Neptune and the Atomic Space Patrol face their biggest threat ever. Dr. Agotch and his giant, mechanical, Menacing Squid!",Short,44m,Max Neptune and the Menacing Squid
20,3.2,,Peter Atencio,Scott Martin,"In the midst of a tropical storm, the crew of an offshore oil rig must survive the rampage of a creature after invading its undersea habitat.","Action
Adventure
Horror",1h 30m,The Rig
21,7.5,,Jean-Claude Van Damme,Jean-Claude Van Damme,"A military veteran and former mercenary named Frenchy is haunted by his childhood, as well as his past in the military.","Action
Crime
Drama",1h 48m,Frenchy
22,4.6,,Miklós Jancsó,Miklós Jancsó,,Drama,1h 40m,Oda az igazság
23,6.9,,Bence Miklauzic,Balázs MaruszkiBence MiklauzicGábor Németh,"Mate, a lonely, divorced real estate agent is put in charge by his boss to sell a suburban storage building. The storage is rented by the Chinese, who keep their semi-legal goods here before selling them on the market. The stock comprising of several thousands of boxes is guarded by a Chinese man, Wu, who also lives in the storage. During this forced association a str... Read all",Drama,1h 29m,A zöld sárkány gyermekei
24,8.2,,R.J. Adams,Diane C. AdamsR.J. AdamsPaul Kirby,"The Final Journey follows the rail lines of the Nazi Controled Deutsche Reichsbahn system that delivered millions of people from every corner of Europe to the door-step of the infamous Concentration Camps. By integrating a special collection of rare photographs and crystal clear archival film, the viewer is taken on a then and now journey to each of the former Nazi ca... Read all",Drama,2h,The Final Journey
25,5.5,,Allen Wolf,Allen Wolf,A sleepwalking sexaholic masseur wakes up covered in blood next to a bloody knife with cops ringing his doorbell.,"Drama
Mystery
Thriller",1h 44m,In My Sleep
26,7.8,,Frankie J. Mosca,Frankie J. MoscaSal DeLuciaAnde Cira,"Awakening from a near fatal overdose, Chris embraces a second chance at life. Required to enroll into a 12-Step Program, and mandated to state psychiatrist appointments, Chris is forced to revisit his chaotic past; a history that revolves around his friend Ande and her autistic brother Frankie. Follow Chris as his past and present converge revealing a deranged cocktai... Read all",Comedy,1h 39m,This Wretched Life
27,5.3,,Michael Pollak,Scott BruffeyMichael Pollak,"A powerful film that examines the ""progress"" of our present day culture through the eyes of the oppressor.",Short,26m,Death of a Nation
28,5.8,,Jerome Elston Scott,Jerome Elston Scott,"Nick Anderson, Kevin Daniels, and Tracey Green do everything together. They are the best of friends, and yet they couldn't be more different. Neighbors from adolescence, they finish each other's thoughts and sentences, joys and pains, happiness and tears. Using Nick's house as their own members only clubhouse, they escape into their own world of contentment. Yet the i... Read all","Comedy
Drama
Romance",1h 38m,Anderson's Cross
29,6.6,,Carsten Brandt,Carsten Brandt,An original story about a broken desperate film director.,Drama,4h 40m,Den milde smerte
30,4.3,,Nikita Mikhalkov,Nikita MikhalkovVladimir MoiseenkoAleksandr Novototskiy-Vlasov,"A look at the horrors of the Eastern Front of World War II from the points of view of repressed soldier of penal battalion and his young daughter, who stayed behind enemy lines.",Drama,3h 1m,Utomlennye solntsem 2
31,4.8,,Dwight H. Little,Alan B. McElroy,Jin Kazama witnesses the death of his mother Jun by Tekken in the slums known as Anvil. After finding a Tekken ID he decides to seek out vengeance for his mother's death.,"Action
Crime
Drama",1h 31m,Tekken
32,4.4,,Robin Christian,Robin Christian,"A distraught college student finds a phone that enables her to talk to her deceased mother in the past. Instead of a heart attack, she learns that her mother was murdered. She tries to use the phone to stop the murder from occurring before the killer finds and kills her too.",Drama,1h 52m,Disconnect
33,4.0,,Satish Kaushik,Shiraz Ahmed,"Hoping that destiny will re-unite them, a couple, on the verge of getting married, attempt to locate each other.","Drama
Romance",1h 49m,Milenge Milenge
34,6.5,,Daniel Grou,Patrick Senécal,"A doctor seeks revenge by kidnapping, torturing and killing the man who raped and murdered his young daughter.","Crime
Drama
Horror",1h 45m,7 Days
35,6.0,,Enrique Gabriel,Enrique GabrielLucia Lipschutz,Closely observed relationships: how the 2008 financial crisis affects the personal lives of various individuals who develop different surviving strategies when thrown together in a caravan site on outskirts of Madrid.,Drama,1h 55m,Vidas pequeñas
36,6.0,,Cory Cataldo,Cory Cataldo,"Will is a misfit who can't catch a break: he's terrorized by his psychotic father at home and taunted by his peers at school. His only solace comes from three classmates who face similar abuse. Without guidance or a sense of purpose, the four friends spend their days getting high and commiserating until they reach a breaking point. With nothing to lose and no escape f... Read all",Drama,1h 38m,Mad World
37,6.5,,Laura Casabe,Laura CasabeTomas Wortley,"In a popular auction that matches the sinister and colorful of a circus of phenomena, a couple adopts children in exchange for their belongings. The children there acquired, usually mutilated, are in their new home in order to prepare for access to the Peronist education program taught in only 10 state institutes.",Comedy,1h 25m,El hada buena - Una fábula peronista
38,7.1,,Miguel Coyula,Miguel CoyulaEdmundo Desnoes,"An intellectual leaves the Cuban revolution and 'underdevelopment' behind only to find himself at odds with the ambiguities of his new life in the 'developed' world. A portrait of alienation, of an outsider with no clear-cut politics or ideology. A stranger in a strange land struggling with old age, sexual desire and ultimately the impossibility for the individual to ... Read all",Drama,1h 53m,Memorias del desarrollo
39,4.7,,Bob Meyer,Randy Buescher,"Drunkboat tells the story of a young teenager, Abe, who manipulates his unsuspecting alcoholic uncle (Malkovich) into buying a boat from a conman (Goodman).",Drama,1h 38m,Drunkboat
40,3.3,,Erik de Castro,Erico BeduschiHeber TrigueiroErik de Castro,"A dangerous drug lord operates in Brasilia, the federal capital of Brazil. To capture him, the police will do whatever is necessary. Caught in the middle is a frightened population. ""Federals"" exposes the reality of a country that today is an important route for international drug-trafficking.",Drama,1h 31m,Federal
41,7.8,,Ron Althoff,Ron AlthoffMichael Su,"When a San Francisco detective goes hunting for the cruel Asian crime figure who killed his partner, he finds himself thrown into the center of a violent plot to steal a terrorist weapon. Ty Nelson is a detective haunted by the violent death of his partner at the hands of Choy Muk, the leader of the Triad Dragons-- a violent, fanatical Asian gang operating in San Fran... Read all",Action,1h 30m,Taken by Force
42,3.8,,Nestor Miranda,Nestor Miranda,Friends from Queens decide to move into a run down Harlem brownstone ultimately converting it into an illegal youth hostel in order to make ends meet.,"Comedy
Drama",1h 21m,Harlem Hostel
43,7.5,,Alejandro Alcondez,Alejandro Alcondez,"Death itself is not traumatic rather the life that dies inside of you while you remain with breath this is the life of Pablo Pastor. Corrupt and deceitful people have stolen a precious stone known by the indigenous tribe as the Cielito Lindo, which is believed to bring much needed rain back to the desert-like village of the Tahuromara Tribe. Pablo is forced to abandon... Read all",Drama,1h 31m,Cielito lindo
44,6.6,,Sky Christopherson,Sky Christopherson,"Freediver Max Avery (Justin Flint Williford) journeys to his inner-most depths as he pursues competitive freediving as a relief from a chronic lung disease. Yet his passion for the extreme sport is widening a rift between him and his father (Mark Brunetti), a physician, who hears his son's risky descents will cost him his life. As Max trains for one last world record ... Read all","Drama
Sport",1h,The Greater Meaning of Water
45,6.6,,Takeshi Kobayashi,Chika KanShunji Iwai,Four boys have their friendship and musical talents tested in the ever changing worlds of the music industry and real life in 1990s Japan.,Drama,1h 59m,Bandeiji
46,7.0,,Rudy Luna,Rudy Luna,"Primemates is a disturbing and honest conversation among four men in an exclusive cigar shop. They talk about love, relationships, and sex. While exploring men's fascination with younger women, Primemates delves into many political taboos usually associated with the intellectual.",Comedy,1h 22m,PrimeMates
47,6.5,,José Farinha,Maria José MorgadoJosé VegarVicente Alves do Ó,,Crime,1h 25m,O Inimigo Sem Rosto
48,3.9,,Ryan Combs,Ryan Combs,A young drug dealer sells his soul to the devil in order to become the #1 seller on the block.,"Drama
Fantasy
Thriller",1h 23m,King of the Avenue
49,7.5,,Sylvain Chomet,Sylvain Chomet,"A French illusionist finds himself out of work and travels to Scotland, where he meets a young woman. Their ensuing adventure changes both their lives forever.","Animation
Drama
Fantasy",1h 20m,The Illusionist
50,6.2,,Víctor González,Huili RaffoVíctor González,A well-intentioned novice priest tries to stay out of two older clerics' criminal scheme. Until money and a girl come into play.,Drama,2h 3m,The Chosen Heaven
51,7.4,,Justin Chadwick,Ann Peacock,The story of an 84 year-old Kenyan villager and ex Mau Mau veteran who fights for his right to go to school for the first time to get the education he could never afford.,"Biography
Drama
Romance",1h 43m,The First Grader
52,6.3,,Elias Goday,Elias GodaySara LimHenry Thomas,An almost fatal injury gives a young man his challenge of a lifetime.,Biography,1h 59m,Ironmen
53,6.7,,Nicole Mosleh,Nicole Mosleh,"Claire and Robert spend most of their time in a house they own in the beautiful and remote countryside in Italy. Their life seems to be perfect. But when Claire's sister gets murdered in the very same house, the traumatic event shakes up their relationship. Disappointment, fear and resentment they swept under the rug for years, resurface. Revealing the dark side of a ... Read all",Drama,1h 23m,Nemesis
54,7.1,,Anna Boden,Anna Boden,A clinically-depressed teenager gets a new start after he checks himself into an adult psychiatric ward.,"Comedy
Drama
Romance",1h 41m,It's Kind of a Funny Story
55,5.7,,Ajay Naidu,Heather Burns,"Ashes is the story of a young Indo-American man who struggles in the inner city of New York to support himself and his mentally ill older brother. When a group of small time Indian gangsters offer Ashes an easy road to wealth, he pursues them with vigor. With his brother's health on the decline and Ashes on a steady path towards hardcore crime, Ashes must try to choos... Read all","Crime
Drama",1h 17m,Ashes
56,5.5,,Katherine Brooks,Katherine Brooks,A woman suffering from multiple personality disorder tries to piece back together her life.,Drama,1h 29m,Waking Madison
57,3.6,,Douglas S. Younglove,Douglas S. Younglove,Horrific murders which once lived only in a young man's nightmares suddenly begin occurring in chilling reality in his hometown.,"Adventure
Crime
Drama",1h 34m,Killer by Nature
