,0,1,2,3,4,5,6
0,6.7,49%,Joe Carnahan,Joe Carnahan,"A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.",1h 57m,The A-Team
1,6.6,36%,Mike Newell,Boaz Yakin,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,1h 56m,Prince of Persia: The Sands of Time
2,6.8,87%,Tony Scott,Mark Bomback,"With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe.",1h 38m,Unstoppable
3,6.2,48%,Sylvain White,Peter Berg,"A CIA special forces team is betrayed and left for dead by their superiors, galvanizing them to mount an offensive on the CIA.",1h 37m,The Losers
4,5.8,27%,Louis Leterrier,Travis Beacham,"Perseus, a demigod and the son of Zeus, battles the minions of Hades and the Underworld in order to stop them from conquering Olympus and Earth.",1h 46m,Clash of the Titans
5,4.0,5%,M. Night Shyamalan,M. Night Shyamalan,"Aang, a young successor to a long line of Avatars, must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",1h 43m,The Last Airbender
6,6.5,62%,Phillip Noyce,Kurt Wimmer,A CIA agent goes on the run after a defector accuses her of being a Russian spy.,1h 40m,Salt
7,6.1,40%,Jon Turteltaub,Lawrence Konner,A protege of the magician Merlin must train his teacher's successor - an introverted but resourceful physics prodigy - in the art of sorcery to prevent the return of Morgana le Fay.,1h 49m,The Sorcerer's Apprentice
8,6.2,33%,Sngmoo Lee,Sngmoo Lee,A warrior-assassin is forced to hide in a small town in the American Badlands after refusing a mission.,1h 40m,The Warrior's Way
9,6.8,47%,Albert Hughes,Gary Whitta,"A drifter fights his way across a ravaged, post-apocalyptic America while protecting a sacred book that holds the secrets to humanity's salvation.",1h 58m,The Book of Eli
10,5.3,20%,Scott Stewart,Peter Schink,"When a group of strangers at a dusty roadside diner come under attack by demonic forces, their only chance for survival lies with an archangel named Michael, who informs a pregnant waitress that her unborn child is humanity's last hope.",1h 40m,Legion
11,4.1,0%,Andrey Konchalovskiy,Andrey Konchalovskiy,"In 1920s Vienna, a young girl receives a magical doll on Christmas Eve.",1h 50m,The Nutcracker: The Untold Story
12,6.3,21%,Miguel Sapochnik,Eric Garcia,"Set in the near future when artificial organs can be bought on credit, it revolves around a man who struggles to make the payments on a heart he has purchased. He must therefore go on the run before said ticker is repossessed.",1h 51m,Repo Men
13,4.7,12%,Jimmy Hayward,Mark Neveldine,"In exchange for his freedom, bounty hunter Jonah Hex must track down a terrorist with a superweapon.",1h 21m,Jonah Hex
14,6.5,22%,Daniel Grou,Patrick Senécal,"A doctor seeks revenge by kidnapping, torturing and killing the man who raped and murdered his young daughter.",1h 45m,7 Days
15,5.8,80%,Chris D'Arienzo,Chris D'Arienzo,"Barry Munday wakes up after being attacked to realize that he's missing his family jewels. To make matters worse, he learns he's facing a paternity lawsuit filed by a woman he can't remember having sex with.",1h 35m,Family Jewels
16,6.5,70%,Elizabeth Allen Rosenbaum,Laurie Craig,"An adventurous young girl uses her imagination to escape her reality, that is quickly spinning out of reach.",1h 44m,Ramona and Beezus
17,6.7,49%,Edward Zwick,Charles Randolph,"In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease.",1h 52m,Love & Other Drugs
18,6.2,80%,Tanya Hamilton,Tanya Hamilton,"In 1976, complex political and emotional forces are set in motion when a young man returns to the race-torn Philadelphia neighborhood where he came of age during the Black Power movement.",1h 30m,Night Catches Us
19,5.8,33%,Joe Johnston,Andrew Kevin Walker,"Upon his return to his ancestral homeland, an American man is bitten and subsequently cursed by a werewolf.",1h 43m,The Wolfman
20,6.0,7%,Géla Babluani,Géla Babluani,"A naive young man assumes a dead man's identity and finds himself embroiled in an underground world of power, violence, and chance where men gamble behind closed doors on the lives of other men.",1h 31m,13
21,7.7,55%,Rob Reiner,Rob Reiner,Two eighth-graders start to have feelings for each other despite being total opposites.,1h 30m,Flipped
22,7.0,93%,Lisa Cholodenko,Lisa Cholodenko,Two children conceived by artificial insemination bring their biological father into their non-traditional family life.,1h 46m,The Kids Are All Right
23,7.5,92%,Ben Affleck,Peter Craig,A proficient group of thieves rob a bank and hold an assistant manager hostage. Things begin to get complicated when one of the crew members falls in love with her.,2h 5m,The Town
24,6.1,53%,Josh Gordon,Jeffrey Eugenides,"Seven years after the fact, a man comes to the realization that he was the sperm donor for his best friend's boy.",1h 41m,The Switch
25,6.5,42%,Gary Winick,Jose Rivera,"Sophie travels to Verona where she finds an old unanswered letter asking for love advice. She answers it and when the recipient shows up along with her grumpy grandson, they head off to find the old long lost love while a young love sparks",1h 45m,Letters to Juliet
26,7.1,76%,Larysa Kondracki,Larysa Kondracki,"A drama based on the experiences of Kathryn Bolkovac, a Nebraska cop who served as a peacekeeper in post-war Bosnia and outed the U.N. for covering up a sex trafficking scandal.",1h 52m,The Whistleblower
27,6.1,0%,Il Lim,Il Lim,A man named Flyn (Il Lim) is on a mission to kill the men who raped his wife Olivia (Leelee Sobieski). Flyn will have a double life as a killer and as a husband.,R,Acts of Violence
28,5.2,94%,Antoine Blossier,Antoine BlossierErich Vogel,"PREY tells the story of Nathan (BEAU TRAVAIL'S Gregoire Colin) who is at a countryside retreat for a Fall family reunion that he expects to be particularly stormy. Claire, his wife, has to announce her pregnancy and there are tough decisions that need to be made to prevent the family's pesticides business from closing down. But on the first night that the family gathe... Read all",1h 30m,Prey
29,7.0,87%,John Cameron Mitchell,David Lindsay-Abaire,Life for a happy couple is turned upside down after their young son dies in an accident.,1h 31m,Rabbit Hole
30,8.0,85%,Darren Aronofsky,Mark Heyman,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.",1h 48m,Black Swan
31,6.1,56%,Michael Winterbottom,John Curran,A West Texas Deputy Sheriff is slowly unmasked as a psychotic killer.,1h 49m,The Killer Inside Me
32,6.6,44%,Ridley Scott,Brian Helgeland,"In twelfth-century England, Robin Longstride and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",2h 20m,Robin Hood
33,7.8,91%,David O. Russell,Scott Silver,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",1h 56m,The Fighter
34,4.5,75%,Rob Schneider,Boon Collins,A man finally finds faith in himself after the rest of world puts its faith in him; the sole being on earth who can save mankind from its own destruction - The Chosen One.,PG-13,The Chosen One
35,6.8,79%,Doug Liman,Jez Butterworth,CIA operative Valerie Plame discovers her identity is allegedly leaked by the government as payback for an op-ed article her husband wrote criticizing the Bush administration.,1h 48m,Fair Game
36,4.7,9%,Brooks Branch,Brooks Branch,"NYC, 1979: Gabriel and Annie's marriage is falling apart with only their daughter holding it together. Gabriel quits his architect job to become a playwright, writing about his life. Annie and Liz leave.",1h 37m,Multiple Sarcasms
37,6.4,72%,Paul T. Scheuring,Paul T. Scheuring,26 men are chosen to participate in the roles of guards and prisoners in a psychological study that ultimately spirals out of control.,1h 36m,The Experiment
38,6.0,44%,Jon Favreau,Roberto Orci,"A spaceship arrives in 1873 Arizona to take over the Earth, starting with the Wild West region. All that stands in their way: a posse of cowboys and natives.",1h 59m,Cowboys & Aliens
39,6.9,80%,Joe Johnston,Christopher Markus,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a warmonger and a terrorist organization.",2h 4m,Captain America: The First Avenger
40,6.5,53%,Simon West,Richard Wenk,An elite hitman teaches his trade to an apprentice who has a connection to one of his previous victims.,1h 33m,The Mechanic
41,5.4,11%,Dominic Sena,Bragi F. Schut,"14th-century knights transport a suspected witch to a monastery, where monks deduce that her powers could be the source of the Black Plague.",1h 35m,Season of the Witch
42,7.0,77%,Kenneth Branagh,Ashley Miller,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",1h 55m,Thor
43,5.1,67%,Marcus Nispel,Thomas Dean Donnelly,A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.,1h 53m,Conan the Barbarian
44,5.7,15%,Scott Stewart,Cory Goodman,A warrior priest disobeys church law to track down a pack of vampires who have kidnapped his niece.,1h 27m,Priest
45,6.1,61%,Kevin Smith,Kevin Smith,"Set in Middle America, a group of teens receive an online invitation for sex, though they soon encounter fundamentalists with a much more sinister agenda.",1h 28m,Red State
46,6.1,22%,Zack Snyder,Zack Snyder,A young girl institutionalized by her abusive stepfather retreats to an alternative reality as a coping strategy and envisions a plan to help her escape.,1h 50m,Sucker Punch
47,7.3,75%,Steven Spielberg,Hergé,Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.,1h 47m,The Adventures of Tintin: The Secret of the Unicorn
48,6.2,39%,Kevin Macdonald,Jeremy Brock,"In Roman-ruled Britain, a young Roman soldier endeavors to honor his father's memory by finding his lost legion's golden emblem.",1h 54m,The Eagle
49,4.3,19%,Mark Neveldine,Scott M. Gimple,"Johnny Blaze, tortured by the Ghost Rider's curse, gets a chance of redemption through protecting the Devil's son, whose father is pursuing him.",1h 36m,Ghost Rider: Spirit of Vengeance
50,4.9,11%,Chris Gorak,Jon Spaihts,"In Moscow, five young people lead the charge against an alien race who have attacked Earth via our power supply.",1h 29m,The Darkest Hour
51,6.1,29%,Roger Donaldson,Todd Hickey,"After his wife is assaulted, a husband enlists the services of a vigilante group to help him settle the score. Then he discovers they want a 'favor' from him in return.",1h 45m,Justice
52,5.7,37%,Jonathan Liebesman,Christopher Bertolini,A squad of U.S. Marines becomes the last line of defense against a global invasion.,1h 56m,Battle: Los Angeles
53,7.4,93%,Brad Bird,Bruce Geller,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",2h 12m,Mission: Impossible - Ghost Protocol
54,6.1,43%,Jonathan English,Jonathan English,"In thirteenth-century England, a Knights Templar and a few of the Barons men fight to defend Rochester Castle against the tyrannical King John.",2h 1m,Ironclad
55,6.9,40%,Mathieu Kassovitz,Mathieu Kassovitz,Dissidents in a French overseas territory attack a police station and take hostages.,2h 16m,Rebellion
56,6.0,49%,Tarsem Singh,Charley Parlapanides,"Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.",1h 50m,Immortals
57,7.7,86%,Matthew Vaughn,Ashley Miller,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.",2h 11m,X-Men: First Class
58,7.1,63%,Farhan Akhtar,Farhan Akhtar,"Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin.",2h 28m,Don 2
59,6.1,51%,Bruce Robinson,Bruce Robinson,American journalist Paul Kemp takes on a freelance job in Puerto Rico for a local newspaper during the 1960s and struggles to find a balance between island culture and the expatriates who live there.,1h 59m,The Rum Diary
60,5.9,55%,Kelly Asbury,Andy Riley,"Separated by a garden fence and a feud, are blue gnomes on one side and red gnomes on the other. This doesn't stop blue Gnomeo and red Juliet from falling in love with each other. Do they have a future together?",1h 24m,Gnomeo & Juliet
61,6.6,86%,Chris Miller,Tom Wheeler,"An outlaw cat, his childhood egg-friend, and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor, and regain the trust of his mother and town.",1h 30m,Puss in Boots
62,5.4,21%,Raja Gosnell,J. David Stem,"When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world into New York City.",1h 43m,The Smurfs
63,6.2,67%,Brett Ratner,Adam Cooper,"When a group of hard-working guys find out they've fallen victim to their wealthy employer's Ponzi scheme, they conspire to rob his high-rise residence.",1h 44m,Tower Heist
64,5.9,33%,Bobby Farrelly,Pete Jones,"Rick and Fred, two husbands who are having difficulty in their marriages, are given a Hall Pass by their wives: for one week, they can do whatever they want.",1h 45m,Hall Pass
65,6.0,23%,Mark Mylod,Karyn Bosnak,A woman looks back at the past nineteen men she's had relationships with in her life and wonders if one of them might be her one true love.,1h 46m,What's Your Number?
66,3.3,3%,Dennis Dugan,Ben Zook,"Family guy, Jack Sadelstein, prepares for the annual event he always dreads--the Thanksgiving visit of his fraternal twin sister, the needy, and passive-aggressive Jill, who then refuses to leave.",1h 31m,Jack and Jill
67,4.8,22%,Blayne Weaver,Blayne Weaver,A womanizer teaches his clueless friend the rules about being single and avoiding emotional attachment.,1h 40m,6 Month Rule
68,6.7,86%,Bibo Bergeron,Stéphane Kazandjian,"A 3D-animated movie set in Paris in the year 1910 and centered on a monster who lives in a garden and his love for a beautiful, young singer.",1h 30m,A Monster in Paris
69,5.8,45%,Michel Gondry,Seth Rogen,"Following the death of his father, Britt Reid, heir to his father's large company, teams up with his late dad's assistant Kato to become a masked crime fighting team.",1h 59m,The Green Hornet
70,5.0,80%,Adrien Crespon,Ariane AggiagePhilippe PeythieuBernard Tiphaine,What if mankind's original sin wasn't stealing the Fruit of Knowledge but accidentally destroying the Tree?,6m,Eden
71,3.8,20%,Robin Hardy,Robin Hardy,"Charmed by the residents of Tressock, Scotland, two young missionaries accept the invitation to participate in a local festival, fully unaware of the consequences of their decision.",1h 36m,The Wicker Tree
72,6.1,51%,Bruce Robinson,Bruce Robinson,American journalist Paul Kemp takes on a freelance job in Puerto Rico for a local newspaper during the 1960s and struggles to find a balance between island culture and the expatriates who live there.,1h 59m,The Rum Diary
